instrument,question_number,factor,question_text,mean_r,sd_r,n_pairs,n_observations
bfi,1,extraversion,Is talkative,0.9657545676501657,0.01308197794529012,6,114
bfi,2,agreeableness,Tends to find fault with others,0.918839152173477,0.04201988644671178,6,114
bfi,3,conscientiousness,Does a thorough job,0.9660881094455309,0.008308812957228118,6,114
bfi,4,neuroticism,"Is depressed, blue",0.7295871422347844,0.029069320288967325,6,111
bfi,5,openness,"Is original, comes up with new ideas",0.8847268978527785,0.029377977908562385,6,111
bfi,6,extraversion,Is reserved,0.9606871866035095,0.010591229699324424,6,114
bfi,7,agreeableness,Is helpful and unselfish with others,0.9506428138302452,0.016067700386969842,6,114
bfi,8,conscientiousness,Can be somewhat careless,0.9281553454975281,0.014817727185636254,6,113
bfi,9,neuroticism,"Is relaxed, handles stress well",0.6192138388164932,0.06142282225083845,6,111
bfi,10,openness,Is curious about many different things,0.8569387880649741,0.021358684049735798,6,111
bfi,11,extraversion,Is full of energy,0.9286862859331363,0.03567832704378105,6,114
bfi,12,agreeableness,Starts quarrels with others,0.8369700610135254,0.07655614727110296,6,114
bfi,13,conscientiousness,Is a reliable worker,0.9052262642697846,0.06320495408569711,6,112
bfi,14,neuroticism,Can be tense,0.7304233954235592,0.024598131114289087,6,111
bfi,15,openness,"Is ingenious, a deep thinker",0.8735921946101867,0.009984114252167687,6,111
bfi,16,extraversion,Generates a lot of enthusiasm,0.9089951566241335,0.049486605242035485,6,114
bfi,17,agreeableness,Has a forgiving nature,0.9544178353934698,0.009222007704757899,6,114
bfi,18,conscientiousness,Tends to be disorganized,0.9548509781770987,0.012421259370204508,6,112
bfi,19,neuroticism,Worries a lot,0.8391632906884854,0.025388445369046195,6,111
bfi,20,openness,Has an active imagination,0.8681879241471346,0.02419658992242685,6,111
bfi,21,extraversion,Tends to be quiet,0.9590077486467655,0.014697045198884737,6,114
bfi,22,agreeableness,Is generally trusting,0.9597716910647186,0.009641779852247952,6,114
bfi,23,conscientiousness,Tends to be lazy,0.9340677976585549,0.006878094444034785,6,112
bfi,24,neuroticism,"Is emotionally stable, not easily upset",0.5778458738337722,0.21164775255131568,6,111
bfi,25,openness,Is inventive,0.8704175154120927,0.044529962789664,6,111
bfi,26,extraversion,Has an assertive personality,0.9558907209836249,0.005293959474718293,6,114
bfi,27,agreeableness,Can be cold and aloof,0.8774822064343276,0.016387997364114438,6,114
bfi,28,conscientiousness,Perseveres until the task is finished,0.9642086729745896,0.008136238570502687,6,112
bfi,29,neuroticism,Can be moody,0.6195983977311423,0.09766907994199747,6,111
bfi,30,openness,"Values artistic, aesthetic experiences",0.875378261318,0.03231159520640898,6,111
bfi,31,extraversion,"Is sometimes shy, inhibited",0.908077140838202,0.015284353431654655,6,114
bfi,32,agreeableness,Is considerate and kind to almost everyone,0.9452249478462477,0.015763213013268766,6,114
bfi,33,conscientiousness,Does things efficiently,0.9222561646155406,0.02461405196000973,6,112
bfi,34,neuroticism,Remains calm in tense situations,0.7191778054058063,0.1136778755244157,6,111
bfi,35,openness,Prefers work that is routine,0.7103127374898927,0.05669250584326876,6,111
bfi,36,extraversion,"Is outgoing, sociable",0.9755528524929654,0.008300583208865255,6,114
bfi,37,agreeableness,Is sometimes rude to others,0.9048499797981454,0.017959861805212297,6,114
bfi,38,conscientiousness,Makes plans and follows through with them,0.961988520606123,0.008308782864065828,6,112
bfi,39,neuroticism,Gets nervous easily,0.7929684613809459,0.05292420525973634,6,111
bfi,40,openness,"Likes to reflect, play with ideas",0.7656958354175196,0.07728749840989493,6,111
bfi,41,openness,Has few artistic interests,0.6981168881955351,0.08792811112244739,6,111
bfi,42,agreeableness,Likes to cooperate with others,0.9555864424513132,0.015472140750243191,6,114
bfi,43,conscientiousness,Is easily distracted,0.8414008400441194,0.057982421922026094,6,112
bfi,44,openness,"Is sophisticated in art, music, or literature",0.8694348704886471,0.03507033993385375,6,111
dark_triad,1,machiavellianism,It's not wise to tell your secrets,0.551165232435511,0.12381166997704832,6,114
dark_triad,2,machiavellianism,I like to use clever manipulation to get my way,0.8963008909637566,0.027627732186846436,6,114
dark_triad,3,machiavellianism,"Whatever it takes, you must get the important people on your side",0.7578659681822338,0.04664747662616279,6,114
dark_triad,4,machiavellianism,Avoid direct conflict with others because they may be useful in the future,0.5240726958583084,0.09427843928882847,6,114
dark_triad,5,machiavellianism,It's wise to keep track of information that you can use against people later,0.8590023158363258,0.03711754003922371,6,114
dark_triad,6,machiavellianism,You should wait for the right time to get back at people,0.5943017599507735,0.12369950718142887,6,114
dark_triad,7,machiavellianism,There are things you should hide from other people to preserve your reputation,0.6128732874068682,0.08252980863624858,6,114
dark_triad,8,machiavellianism,"Make sure your plans benefit yourself, not others",0.9343648806044689,0.015288783304741174,6,114
dark_triad,9,machiavellianism,Most people can be manipulated,0.7837041570818789,0.03524360117833323,6,114
dark_triad,10,narcissism,People see me as a natural leader,0.9090713354233785,0.023935205754279633,6,114
dark_triad,11,narcissism,I hate being the center of attention,0.9411923013367383,0.01375708365927788,6,114
dark_triad,12,narcissism,Many group activities tend to be dull without me,0.895186669030512,0.019959085963334677,6,114
dark_triad,13,narcissism,I know that I am special because everyone keeps telling me so,0.6563868707910084,0.08976347093067068,6,114
dark_triad,14,narcissism,I like to get acquainted with important people,0.817702761511172,0.06765780437708308,6,114
dark_triad,15,narcissism,I feel embarrassed if someone compliments me,0.5505489510373054,0.10908510865857894,6,114
