instrument,input_system,provider1,provider2,correlation,p_value,n
bfi,behavioral,claude,deepseek,0.991382408103993,9.992007221626409e-16,19
bfi,behavioral,claude,gemini,0.9883743883949725,1.2434497875801753e-14,19
bfi,behavioral,claude,openai,0.9933632407064906,1.1102230246251565e-16,19
bfi,behavioral,deepseek,gemini,0.9872066718684297,2.786659791809143e-14,19
bfi,behavioral,deepseek,openai,0.9872628764588174,2.6756374893466273e-14,19
bfi,behavioral,gemini,openai,0.98923654646013,6.439293542825908e-15,19
bfi,exemplar,claude,deepseek,0.9014283943060599,6.592806843785937e-07,19
bfi,exemplar,claude,gemini,0.9114731180768251,2.7654676459931693e-07,19
bfi,exemplar,claude,openai,0.9019890366753643,6.296550197903983e-07,19
bfi,exemplar,deepseek,gemini,0.8833715763753864,2.5397650842418074e-06,19
bfi,exemplar,deepseek,openai,0.946837470126158,4.2359454832663346e-09,19
bfi,exemplar,gemini,openai,0.9172760574630769,1.5947217668621505e-07,19
bfi,hexaco,claude,deepseek,0.9839200455970754,1.9162449405030202e-13,19
bfi,hexaco,claude,gemini,0.9883794389683234,1.2323475573339238e-14,19
bfi,hexaco,claude,openai,0.9971941152935849,0.0,19
bfi,hexaco,deepseek,gemini,0.9661198183005103,1.0005152262237971e-10,19
bfi,hexaco,deepseek,openai,0.9840461527385965,1.7930101847696278e-13,19
bfi,hexaco,gemini,openai,0.9846015536165639,1.3300471835009375e-13,19
bfi,narrative,claude,deepseek,0.959552351391476,4.3845627129002196e-10,19
bfi,narrative,claude,gemini,0.9657991985962046,1.0824086071892225e-10,19
bfi,narrative,claude,openai,0.9698299325868515,3.7935210528416974e-11,19
bfi,narrative,deepseek,gemini,0.9742037234375729,1.021094320208249e-11,19
bfi,narrative,deepseek,openai,0.9752258621703966,7.2732930789243255e-12,19
bfi,narrative,gemini,openai,0.9796261193661692,1.4063195052926858e-12,19
bfi,ocean_direct,claude,deepseek,0.9557090038811956,9.327544292503376e-10,19
bfi,ocean_direct,claude,gemini,0.9094490720516937,3.321302028957973e-07,19
bfi,ocean_direct,claude,openai,0.9011595925244718,6.739091757967941e-07,19
bfi,ocean_direct,deepseek,gemini,0.9474947352705204,3.821842065043768e-09,19
