instrument,input_system,provider1,provider2,correlation,p_value,n
bfi,behavioral,claude,deepseek,0.9953762450888105,0.0,18
bfi,behavioral,claude,gemini,0.9921829702736183,3.4416913763379853e-15,18
bfi,behavioral,claude,openai,0.9946824993762986,1.1102230246251565e-16,18
bfi,behavioral,deepseek,gemini,0.9934044441691533,8.881784197001252e-16,18
bfi,behavioral,deepseek,openai,0.9942813507920587,3.3306690738754696e-16,18
bfi,behavioral,gemini,openai,0.9956621580051845,0.0,18
bfi,exemplar,claude,deepseek,0.9347485381392452,2.292585654650736e-08,19
bfi,exemplar,claude,gemini,0.8381065796313693,3.354277973111053e-05,19
bfi,exemplar,claude,openai,0.9577494427435354,6.302475208386227e-10,19
bfi,exemplar,deepseek,gemini,0.9102410209773032,3.093225652284204e-07,19
bfi,exemplar,deepseek,openai,0.9801564048307281,1.1264322807846838e-12,19
bfi,exemplar,gemini,openai,0.9218439241298385,1.0041239306701755e-07,19
bfi,hexaco,claude,deepseek,0.9934249980213247,1.1102230246251565e-16,19
bfi,hexaco,claude,gemini,0.9870561250239142,3.0753177782116836e-14,19
bfi,hexaco,claude,openai,0.9970322479018244,0.0,19
bfi,hexaco,deepseek,gemini,0.9880391061804883,1.5765166949677223e-14,19
bfi,hexaco,deepseek,openai,0.9936660888482042,1.1102230246251565e-16,19
bfi,hexaco,gemini,openai,0.9926974078688722,2.220446049250313e-16,19
bfi,narrative,claude,deepseek,0.9956148685310218,0.0,19
bfi,narrative,claude,gemini,0.9929135568004097,2.220446049250313e-16,19
bfi,narrative,claude,openai,0.9968337804513558,0.0,19
bfi,narrative,deepseek,gemini,0.9867660393512262,3.708144902248023e-14,19
bfi,narrative,deepseek,openai,0.9919895516869184,5.551115123125783e-16,19
bfi,narrative,gemini,openai,0.993848435906046,1.1102230246251565e-16,19
bfi,ocean_direct,claude,deepseek,0.9892893114770167,2.9098945475425353e-13,17
bfi,ocean_direct,claude,gemini,0.9839357508544525,5.962230709144478e-12,17
bfi,ocean_direct,claude,openai,0.972668851162836,3.0749680579589267e-10,17
bfi,ocean_direct,deepseek,gemini,0.9802895631951598,2.7270075086960333e-11,17
bfi,ocean_direct,deepseek,openai,0.9831671949191936,8.440470544712753e-12,17
bfi,ocean_direct,gemini,openai,0.9871685297765246,1.1189937865196953e-12,17
bfi,scenario,claude,deepseek,0.9896902412578704,4.440892098500626e-15,19
bfi,scenario,claude,gemini,0.981066675821665,7.58726415028832e-13,19
bfi,scenario,claude,openai,0.9908664228599577,1.6653345369377348e-15,19
bfi,scenario,deepseek,gemini,0.9912398359014634,1.1102230246251565e-15,19
